0;0;0;0;0;0;0;0;;;;#;Evento;T Inicial;T Final;A;C;FN;FM;FD;D
7,497;0,023917431;-0,047102956;1,03443629;1,23501;5,2072;-166,15817;0;;;;;;;;;;;;;
7,544;-0,001708461;-0,027700306;1,039561672;1,2061;5,13734;-166,22522;0;;;;;;;;;;;;;
7,545;-0,010982671;-0,019158002;1,027481142;1,2061;5,13734;-166,22522;0;;;;;;;;;;;;;
7,576;-0,013300714;-0,038560652;1,032972477;1,19967;5,04122;-166,29202;0;;;;;;;;;;;;;
7,616;-0,028799185;-0,027090724;1,011739042;1,18222;4,96863;-166,35371;0;;;;;;;;;;;;;
7,656;0,016839959;-0,042588175;1,019670744;1,19048;4,88732;-166,40501;0;;;;;;;;;;;;;
7,695;0,004880734;-0,008785933;0,97403262;1,16439;4,81466;-166,44505;0;;;;;;;;;;;;;
7,735;-0,025991845;-0,034900102;1,00466157;1,12671;4,74089;-166,47765;0;;;;;;;;;;;;;
7,738;0,004880734;-0,039659531;0,994533129;1,12671;4,74089;-166,47765;0;;;;;;;;;;;;;
7,777;-0,087860347;-0,001097859;1,001244648;1,14206;4,64511;-166,50969;0;;;;;;;;;;;;;
7,817;-0,04551682;0,006345566;0,989164118;1,16629;4,56239;-166,53746;0;;;;;;;;;;;;;
7,855;-0,05564526;-0,067116208;1,03980632;1,22957;4,47646;-166,56544;0;;;;;;;;;;;;;
7,895;-0,050763507;-0,019890928;1,031020387;1,29975;4,42064;-166,59189;0;;;;;;;;;;;;;
7,94;0,010616718;-0,03148318;1,050544343;1,35797;4,33347;-166,60886;0;;;;;;;;;;;;;
7,941;-0,082734964;0,009762487;1,022966361;1,35797;4,33347;-166,60886;0;;;;;;;;;;;;;
7,976;-0,062600408;-0,061868502;1,036510703;1,35661;4,26255;-166,61623;0;;;;;;;;;;;;;
8,016;-0,011348624;-0,003905199;1,034192661;1,43807;4,20105;-166,62677;0;;;;;;;;;;;;;
8,066;-0,083101937;-0,03062895;1,052130479;1,42305;4,11773;-166,62785;0;;;;;;;;;;;;;
8,094;-0,023185525;-0,00732212;0,981720693;1,46352;4,05707;-166,63116;0;;;;;;;;;;;;;
8,137;0,001708461;-0,017937819;1,014546381;1,42427;3,98031;-166,62865;0;;;;;;;;;;;;;
8,14;-0,100551478;-0,051617737;0,913872579;1,42427;3,98031;-166,62865;0;;;;;;;;;;;;;
8,19;-0,004271152;-0,035997961;1,011373089;1,39665;3,95637;-166,62659;0;;;;;;;;;;;;;
8,215;-0,026357798;0;0,99538736;1,36453;3,88121;-166,61313;0;;;;;;;;;;;;;
8,255;-0,03795107;-0,052350663;0,932664628;1,29356;3,79545;-166,59019;0;;;;;;;;;;;;;
