0;0;0;0;0;0;0;0;;;;#;Evento;T Inicial;T Final;A;C;FN;FM;FD;D
5,378;-0,011714577;0,07053211;0,960121305;0,29366;-2,74892;9,64625;0;;;;;;;;;;;;;
5,418;-0,020379205;0,07785423;0,899350663;0,3059;-2,72695;9,73957;0;;;;;;;;;;;;;
5,457;-0,024283384;0,040513761;0,872382263;0,3059;-2,72695;9,73957;0;;;;;;;;;;;;;
5,46;0,016351682;0,084565749;0,907649337;0,3059;-2,72695;9,73957;0;;;;;;;;;;;;;
5,5;0,023063201;0,033313965;0,867867482;0,30266;-2,76295;9,88172;0;;;;;;;;;;;;;
5,54;0,003294597;0,071996942;0,910212029;0,28372;-2,76256;10,06847;0;;;;;;;;;;;;;
5,577;0,013788991;0,037219164;0,792819572;0,28372;-2,76256;10,06847;0;;;;;;;;;;;;;
5,617;-0,028310907;0,027212029;0,930101937;0,26859;-2,84099;10,29834;0;;;;;;;;;;;;;
5,656;0,009640163;0,073705403;0,888367992;0,249;-2,8999;10,56795;0;;;;;;;;;;;;;
5,659;-0,031849134;0,095182467;1,018695209;0,249;-2,8999;10,56795;0;;;;;;;;;;;;;
5,7;0,046737003;0,097988787;0,96475841;0,24503;-2,97964;10,85909;0;;;;;;;;;;;;;
5,737;-0,063576962;0,013300714;1,124981651;0,20037;-3,07752;11,15111;0;;;;;;;;;;;;;
5,78;0,025382263;0,157294597;1,068970438;0,26559;-3,13265;11,46462;0;;;;;;;;;;;;;
5,827;-0,053448522;0,056743119;1,0167421;0,25412;-3,21549;11,78159;0;;;;;;;;;;;;;
5,856;-0,015253823;0,098720693;1,109972477;0,28412;-3,24566;12,1034;0;;;;;;;;;;;;;
5,86;-0,010860347;0,079196738;1,050422018;0,28412;-3,24566;12,1034;0;;;;;;;;;;;;;
5,899;0,024405708;0,120442406;1,195148828;0,25324;-3,31369;12,42126;0;;;;;;;;;;;;;
5,938;-0,038194699;0,060770642;1,043100917;0,2533;-3,34014;12,73159;0;;;;;;;;;;;;;
5,977;0,020988787;0,106165138;1,214063201;0,28795;-3,38215;13,01878;0;;;;;;;;;;;;;
6,017;-0,112388379;0,049299694;1,093498471;0,3306;-3,40226;13,28929;0;;;;;;;;;;;;;
6,059;0,002318043;0,043197757;1,11595209;0,42324;-3,38295;13,54029;0;;;;;;;;;;;;;
6,06;-0,042465851;0,108605505;1,013447503;0,42324;-3,38295;13,54029;0;;;;;;;;;;;;;
6,098;-0,017571865;0,047591233;1,125103976;0,42637;-3,42787;13,749;0;;;;;;;;;;;;;
6,138;-0,018304791;0,108971458;0,901547401;0,4275;-3,42006;13,93317;0;;;;;;;;;;;;;
6,178;0,041977574;0,065651376;1,024430173;0,431;-3,43413;14,10103;0;;;;;;;;;;;;;
6,218;-0,027700306;0,072851172;0,984404689;0,39185;-3,46327;14,2712;0;;;;;;;;;;;;;
6,257;0,00195209;0,050276249;0,984892966;0,42151;-3,4487;14,44709;0;;;;;;;;;;;;;
6,259;-0,021720693;0,086762487;0,891296636;0,42151;-3,4487;14,44709;0;;;;;;;;;;;;;
6,301;-0,02782263;-0,001097859;0,889466871;0,39211;-3,45953;14,64179;0;;;;;;;;;;;;;
6,349;0,014154944;0,111168196;0,980987768;0,39685;-3,42406;14,84974;0;;;;;;;;;;;;;
6,376;-0,005734964;0,008663609;0,900570846;0,3908;-3,45158;15,06153;0;;;;;;;;;;;;;
6,416;-0,001586137;0,088470948;1,003319062;0,39032;-3,43992;15,27463;0;;;;;;;;;;;;;
6,456;0,025382263;0,066017329;0,918875637;0,39347;-3,44874;15,51013;0;;;;;;;;;;;;;
6,459;-0,041002039;0,051251784;0,961341488;0,39347;-3,44874;15,51013;0;;;;;;;;;;;;;
6,498;-0,010494393;0,055034659;0,901792049;0,38324;-3,45494;15,75614;0;;;;;;;;;;;;;
6,539;-0,08541998;0,034168196;1,037121305;0,45616;-3,46063;16,00953;0;;;;;;;;;;;;;
6,579;-0,080294597;0,07333945;1,006858308;0,48815;-3,51517;16,27544;0;;;;;;;;;;;;;
6,617;-0,033069317;0,061380224;1,107043833;0,56601;-3,51605;16,54765;0;;;;;;;;;;;;;
6,656;0,041367992;0,086030581;1,157686035;0,56286;-3,57724;16,8138;0;;;;;;;;;;;;;
6,659;-0,046980632;0,034534149;1,016254842;0,56286;-3,57724;16,8138;0;;;;;;;;;;;;;
6,698;0,08432212;0,119710499;1,090692151;0,5622;-3,56558;17,09253;0;;;;;;;;;;;;;
6,737;-0,042831804;-0,017205912;0,998681957;0,5056;-3,64413;17,37221;0;;;;;;;;;;;;;
6,776;0,020256881;0,135085627;1,124249745;0,48731;-3,65769;17,64581;0;;;;;;;;;;;;;
6,819;-0,022819572;0,074559633;0,871528033;0,44153;-3,72696;17,90978;0;;;;;;;;;;;;;
6,871;-0,046126402;0,103480122;1,076780836;0,403;-3,7714;18,14459;0;;;;;;;;;;;;;
6,871;-0,036852192;0,038317023;1,011617737;0,403;-3,7714;18,14459;0;;;;;;;;;;;;;
6,897;-0,023429154;0,044174312;1,149143731;0,3591;-3,87716;18,35852;0;;;;;;;;;;;;;
6,937;0,007688073;0,109825688;1,10216208;0,36045;-3,86675;18,54801;0;;;;;;;;;;;;;
6,977;-0,037828746;0,070044852;1,092521916;0,37374;-3,88941;18,70052;0;;;;;;;;;;;;;
7,016;0,069068298;0,115439348;0,982452599;0,34325;-3,90225;18,82169;0;;;;;;;;;;;;;
7,056;0,003050968;0,011714577;1,010275229;0,2975;-3,94742;18,92552;0;;;;;;;;;;;;;
7,058;0,050397554;0,135207951;1,008566769;0,2975;-3,94742;18,92552;0;;;;;;;;;;;;;
7,099;0,000365953;0,037219164;0,978913354;0,2975;-3,94742;18,92552;0;;;;;;;;;;;;;
7,137;-0,054180428;0,086151886;0,934250765;0,24817;-3,93279;19,02773;0;;;;;;;;;;;;;
7,175;0,088348624;0,038317023;0,920218145;0,27999;-3,94469;19,13313;0;;;;;;;;;;;;;
7,216;-0,063454638;0,079074414;1,003441386;0,27999;-3,94469;19,13313;0;;;;;;;;;;;;;
7,255;-0,021111111;0,056133537;1,041636086;0,30849;-3,92592;19,24287;0;;;;;;;;;;;;;
7,257;-0,089813456;0,061380224;1,030898063;0,30849;-3,92592;19,24287;0;;;;;;;;;;;;;
7,297;-0,033802243;0,081026504;1,108020387;0,37892;-3,94926;19,34004;0;;;;;;;;;;;;;
7,337;-0,055522936;0,065529052;1,036998981;0,39069;-3,94786;19,42244;0;;;;;;;;;;;;;
7,381;0,004514781;0,099819572;1,091424057;0,47125;-3,92264;19,49873;0;;;;;;;;;;;;;
7,415;-0,026236493;0,038073394;1,113267074;0,49385;-3,97194;19,56306;0;;;;;;;;;;;;;
7,456;-0,032703364;0,118856269;0,979767584;0,49385;-3,97194;19,56306;0;;;;;;;;;;;;;
7,457;0,04551682;0,088714577;1,094718654;0,5331;-3,9528;19,62142;0;;;;;;;;;;;;;
7,499;0,011348624;-0,004026504;0,932176351;0,46826;-3,95927;19,68476;0;;;;;;;;;;;;;
7,536;-0,000488277;0,111168196;0,901181448;0,46826;-3,95927;19,68476;0;;;;;;;;;;;;;
7,577;0,022819572;0,027456677;1,033582059;0,42649;-3,99129;19,77141;0;;;;;;;;;;;;;
7,618;-0,077488277;0,01293476;0,969395515;0,38967;-3,99854;19,87897;0;;;;;;;;;;;;;
7,655;0,020622834;0,110191641;0,998926606;0,40931;-4,03353;20,02109;0;;;;;;;;;;;;;
7,694;-0,03514475;0,047468909;0,993069317;0,35307;-4,12658;20,1657;0;;;;;;;;;;;;;
7,695;-0,122273191;0,042465851;1,041147808;0,35307;-4,12658;20,1657;0;;;;;;;;;;;;;
7,737;0,009030581;0,12617737;1,151461774;0,45499;-4,11624;20,34249;0;;;;;;;;;;;;;
7,778;-0,035022426;0,022940877;0,94340367;0,44687;-4,21221;20,51567;0;;;;;;;;;;;;;
7,815;0,01769419;0,155098879;1,261166157;0,49132;-4,19582;20,7097;0;;;;;;;;;;;;;
7,855;0,064797146;0,068945973;0,825889908;0,44588;-4,24634;20,90526;0;;;;;;;;;;;;;
7,896;-0,031849134;0,141674822;1,099478084;0,44588;-4,24634;20,90526;0;;;;;;;;;;;;;
7,897;-0,004148828;-0,036974516;0,985990826;0,36352;-4,26867;21,09371;0;;;;;;;;;;;;;
7,936;-0,003172273;0,091033639;1,092888889;0,37892;-4,21174;21,28471;0;;;;;;;;;;;;;
7,976;0,012813456;0,029897044;0,91838736;0,33777;-4,17453;21,4598;0;;;;;;;;;;;;;
8,03;-0,043686035;0,02416208;1,069215087;0,29292;-4,15641;21,60413;0;;;;;;;;;;;;;
8,055;-0,072728848;0,046248726;1,018695209;0,29292;-4,15641;21,60413;0;;;;;;;;;;;;;
8,097;0,054302752;0,022697248;1,14377472;0,3303;-4,05882;21,73643;0;;;;;;;;;;;;;
8,1;-0,146068298;0,053570846;1,033582059;0,32949;-3,9983;21,83315;0;;;;;;;;;;;;;
8,137;0,089813456;0,009640163;1,113998981;0,40496;-3,93902;21,90596;0;;;;;;;;;;;;;
8,174;0,025991845;0,09469419;1,145604485;0,37285;-3,87697;21,94479;0;;;;;;;;;;;;;
8,214;-0,040879715;-0,028554536;1,001123344;0,33647;-3,83232;21,96142;0;;;;;;;;;;;;;
